,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
98,Junior dos Santos,"$600,000 ",2013,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
99,Junior dos Santos,"$310,000 ",2014,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
100,Junior dos Santos,"$410,000 ",2015,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
101,Junior dos Santos,"$410,000 ",2016,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
102,Junior dos Santos,"$430,000 ",2017,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
103,Junior dos Santos,"$830,000 ",2018,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
104,Junior dos Santos,"$880,000 ",2019,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
105,Junior dos Santos,"$1,560,000 ",2020,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
106,Carlos Condit,"$257,000 ",2010,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
107,Carlos Condit,"$143,000 ",2011,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
108,Carlos Condit,"$237,000 ",2012,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
109,Carlos Condit,"$237,000 ",2013,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
110,Carlos Condit,"$59,000 ",2014,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
111,Carlos Condit,"$59,000 ",2015,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
112,Carlos Condit,"$471,000 ",2016,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
113,Carlos Condit,"$130,000 ",2017,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
114,Carlos Condit,"$265,000 ",2018,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
115,Carlos Condit,"$250,000 ",2020,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t
116,Antonio Rodrigo Nogueira,"$250,000 ",2010,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
117,Antonio Rodrigo Nogueira,"$750,000 ",2011,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
118,Antonio Rodrigo Nogueira,"$470,000 ",2012,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
119,Antonio Rodrigo Nogueira,"$470,000 ",2013,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
120,Antonio Rodrigo Nogueira,"$250,000 ",2014,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
121,Antonio Rodrigo Nogueira,"$260,000 ",2015,78,Antonio Rodrigo,Nogueira,"6' 3""",240,Orthodox,34,10,1,45,Antonio Rodrigo Nogueira,m,t
122,Tito Ortiz,"$250,000 ",2010,50,Tito,Ortiz,"6' 3""",205,Orthodox,19,12,1,32,Tito Ortiz,m,t
123,Tito Ortiz,"$1,495,000 ",2011,50,Tito,Ortiz,"6' 3""",205,Orthodox,19,12,1,32,Tito Ortiz,m,t
124,Tito Ortiz,"$325,000 ",2012,50,Tito,Ortiz,"6' 3""",205,Orthodox,19,12,1,32,Tito Ortiz,m,t
125,Tito Ortiz,"$325,000 ",2013,50,Tito,Ortiz,"6' 3""",205,Orthodox,19,12,1,32,Tito Ortiz,m,t
126,Demian Maia,"$244,000 ",2010,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
127,Demian Maia,"$129,000 ",2011,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
128,Demian Maia,"$252,000 ",2012,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
129,Demian Maia,"$252,000 ",2013,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
130,Demian Maia,"$242,000 ",2014,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
131,Demian Maia,"$534,000 ",2015,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
132,Demian Maia,"$414,000 ",2016,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
133,Demian Maia,"$434,000 ",2017,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
134,Demian Maia,"$106,000 ",2018,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
135,Demian Maia,"$638,000 ",2019,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
136,Demian Maia,"$112,000 ",2020,40,Demian,Maia,"6' 1""",170,Southpaw,28,11,0,39,Demian Maia,m,f
137,Joe Lauzon,"$242,000 ",2010,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
138,Joe Lauzon,"$197,000 ",2011,35,Joe,Lauzon,"5' 10""",155,Orthodox,28,16,0,44,Joe Lauzon,m,f
